Date,Open,High,Low,Close,Adj Close,Volume
2017-12-06,1699.949951,1714.900024,1662.500000,1671.449951,1671.449951,933213
2017-12-07,1685.000000,1690.150024,1661.000000,1676.300049,1676.300049,986167
2017-12-08,1685.000000,1708.199951,1683.300049,1702.250000,1702.250000,767714
2017-12-11,1710.000000,1720.000000,1690.199951,1707.800049,1707.800049,616189
2017-12-12,1705.000000,1716.000000,1690.099976,1699.250000,1699.250000,1051828
2017-12-13,1694.750000,1700.750000,1661.000000,1671.800049,1671.800049,932378
2017-12-14,1675.000000,1698.900024,1627.050049,1685.849976,1685.849976,1257072
2017-12-15,1700.000000,1739.699951,1692.000000,1729.599976,1729.599976,1507279
2017-12-18,1726.000000,1773.000000,1653.199951,1756.849976,1756.849976,1630170
2017-12-19,1766.000000,1770.849976,1739.050049,1757.750000,1757.750000,707467
2017-12-20,1765.000000,1785.000000,1750.000000,1770.400024,1770.400024,957893
2017-12-21,1774.949951,1774.949951,1743.349976,1748.050049,1748.050049,896398
2017-12-22,1756.000000,1788.400024,1750.000000,1782.449951,1782.449951,662716
2017-12-26,1784.699951,1795.000000,1774.199951,1789.500000,1789.500000,494224
2017-12-27,1797.199951,1797.599976,1762.000000,1770.949951,1770.949951,450413
2017-12-28,1780.000000,1782.000000,1745.500000,1755.150024,1755.150024,886376
2017-12-29,1749.250000,1765.900024,1748.150024,1756.699951,1756.699951,447507
2018-01-01,1759.500000,1760.000000,1720.400024,1725.650024,1725.650024,535319
2018-01-02,1739.699951,1739.699951,1710.000000,1724.650024,1724.650024,576208
2018-01-03,1727.000000,1738.349976,1711.000000,1715.300049,1715.300049,416136
2018-01-04,1725.000000,1758.250000,1714.000000,1754.000000,1754.000000,730147
2018-01-05,1766.000000,1821.000000,1759.099976,1814.500000,1814.500000,984327
2018-01-08,1820.000000,1843.000000,1820.000000,1836.849976,1836.849976,825022
2018-01-09,1843.000000,1843.000000,1810.000000,1819.500000,1819.500000,512721
2018-01-10,1820.000000,1820.949951,1794.000000,1802.199951,1802.199951,406791
2018-01-11,1798.000000,1798.000000,1773.050049,1780.349976,1780.349976,818471
2018-01-12,1783.000000,1790.900024,1751.150024,1770.099976,1770.099976,606316
2018-01-15,1771.000000,1794.900024,1733.000000,1738.150024,1738.150024,847037
2018-01-16,1745.800049,1745.800049,1684.599976,1687.349976,1687.349976,1076581
2018-01-17,1695.099976,1709.849976,1665.699951,1701.199951,1701.199951,1199501
2018-01-18,1712.000000,1717.250000,1654.000000,1660.699951,1660.699951,961692
2018-01-19,1660.900024,1711.250000,1632.599976,1701.900024,1701.900024,974597
2018-01-22,1714.000000,1726.000000,1678.000000,1706.349976,1706.349976,924498
2018-01-23,1710.000000,1718.000000,1692.400024,1708.699951,1708.699951,1245493
2018-01-24,1715.000000,1746.849976,1697.050049,1739.150024,1739.150024,1441313
2018-01-25,1741.000000,1741.900024,1703.400024,1710.300049,1710.300049,880891
2018-01-29,1711.000000,1735.250000,1710.000000,1715.300049,1715.300049,643137
2018-01-30,1715.000000,1718.949951,1671.000000,1678.400024,1678.400024,680104
2018-01-31,1657.449951,1690.000000,1645.000000,1677.849976,1677.849976,1332225
2018-02-01,1681.800049,1760.000000,1644.750000,1729.449951,1729.449951,1939812
2018-02-02,1708.050049,1713.000000,1620.199951,1628.900024,1628.900024,1645045
2018-02-05,1600.000000,1627.949951,1546.500000,1604.949951,1604.949951,1472164
2018-02-06,1530.000000,1683.750000,1511.199951,1662.150024,1662.150024,2109416
2018-02-07,1680.000000,1687.000000,1620.599976,1641.650024,1641.650024,1466983
2018-02-08,1654.000000,1679.000000,1638.050049,1662.150024,1662.150024,750746
2018-02-09,1629.050049,1655.000000,1617.300049,1639.400024,1639.400024,703720
2018-02-12,1645.000000,1656.000000,1635.300049,1643.800049,1643.800049,472115
2018-02-14,1654.000000,1696.949951,1651.550049,1669.949951,1669.949951,1066036
2018-02-15,1678.800049,1711.849976,1601.800049,1677.050049,1677.050049,1177116
2018-02-16,1690.000000,1703.949951,1671.550049,1675.250000,1675.250000,947685
2018-02-19,1675.000000,1675.000000,1623.550049,1642.699951,1642.699951,695310
2018-02-20,1654.849976,1657.699951,1626.000000,1638.750000,1638.750000,583955
2018-02-21,1658.000000,1658.000000,1587.300049,1596.449951,1596.449951,1689744
2018-02-22,1588.000000,1617.500000,1576.449951,1600.349976,1600.349976,1050625
2018-02-23,1606.800049,1638.000000,1602.349976,1633.400024,1633.400024,711474
2018-02-26,1640.000000,1679.800049,1636.500000,1674.949951,1674.949951,1036659
2018-02-27,1676.000000,1679.949951,1651.000000,1656.800049,1656.800049,605244
2018-02-28,1644.000000,1659.599976,1629.000000,1640.250000,1640.250000,1756349
2018-03-01,1635.000000,1666.000000,1628.000000,1659.349976,1659.349976,1238390
2018-03-05,1660.000000,1660.000000,1621.000000,1636.949951,1636.949951,743779
2018-03-06,1655.000000,1671.849976,1627.599976,1637.750000,1637.750000,944176
2018-03-07,1641.000000,1648.650024,1606.000000,1618.349976,1618.349976,644577
2018-03-08,1634.949951,1637.900024,1594.199951,1628.050049,1628.050049,663196
2018-03-09,1635.000000,1667.199951,1616.449951,1654.199951,1654.199951,839718
2018-03-12,1663.000000,1681.900024,1655.050049,1665.250000,1665.250000,486187
2018-03-13,1665.500000,1698.849976,1663.599976,1680.699951,1680.699951,820802
2018-03-14,1672.000000,1720.900024,1668.250000,1710.099976,1710.099976,848659
2018-03-15,1715.099976,1739.900024,1714.000000,1726.250000,1726.250000,739187
